SpeciesName,Taxon,TaxonCode,Terrestriality,Diurnality,ECV,Body mass,logECV,logBodyMass
Cercopithecus_lhoesti,Haplorhine,1,1,1,66.13,3450,1.820380612,3.537819095
Cercopithecus_mitis,Haplorhine,1,0,1,65.62,3930,1.81705747,3.59439255
Cercopithecus_mona,Haplorhine,1,0,1,56.5,3200,1.752048448,3.505149978
Cercopithecus_neglectus,Haplorhine,1,1,1,60.9,3550,1.784344662,3.550228353
Cercopithecus_nictitans,Haplorhine,1,0,1,67.83,4260,1.831420694,3.629409599
Cercopithecus_petaurista,Haplorhine,1,0,1,52.75,2918,1.722208387,3.465112347
Cercopithecus_pogonias,Haplorhine,1,0,1,57.59,2940,1.760374609,3.46834733
Cercopithecus_pogonias_wolfi,Haplorhine,1,0,1,53.5,2870,1.728353782,3.457881897
Cheirogaleus_major,Strepsirrhine,2,0,0,5.65,400,0.751685808,2.602059991
Cheirogaleus_medius,Strepsirrhine,2,0,0,2.54,139.5,0.405463194,2.144574208
Chiropotes_albinasus,Haplorhine,1,0,1,57.64,2846.5,1.760723972,3.454311188
Chiropotes_chiropotes,Haplorhine,1,0,1,54.87,2563.4,1.739316727,3.40881136
Chiropotes_satanas,Haplorhine,1,0,1,49.41,3030,1.693786584,3.481442629
Chlorocebus_aethiops,Haplorhine,1,1,1,58.25,3575.8,1.765273372,3.55337322
Colobus_angolensis,Haplorhine,1,0,1,72.3,7570,1.859138297,3.87909588
Colobus_guereza,Haplorhine,1,0,1,72,7506,1.857331835,3.875387895
Colobus_polykomos,Haplorhine,1,0,1,70.98,6709,1.851107259,3.826648544
Colobus_satanas,Haplorhine,1,0,1,71.8,7420,1.856124444,3.870403905
Colobus_vellerosus,Haplorhine,1,0,1,70.61,7220,1.848836661,3.858537198
Daubentonia_madagascariensis,Strepsirrhine,2,0,0,44.7,2594.8,1.650304094,3.414095521
Erythrocebus_patas,Haplorhine,1,1,1,87.57,6500,1.94237987,3.812913357
Eulemur_albifrons,Strepsirrhine,2,0,1,23.02,2181.3,1.362094984,3.338705444
Eulemur_collaris,Strepsirrhine,2,0,1,22.89,2143.5,1.359556498,3.331123488
Eulemur_coronatus,Strepsirrhine,2,0,1,19.78,1180,1.296309332,3.071882007
Eulemur_fulvus,Strepsirrhine,2,0,1,24.66,1781.6,1.391953156,3.250807988
Eulemur_macaco,Strepsirrhine,2,0,1,23.32,1934,1.367773968,3.286560931
Eulemur_mongoz,Strepsirrhine,2,0,1,18.89,1212.4,1.276183598,3.083658786
Eulemur_rubriventer,Strepsirrhine,2,0,1,23.91,1960,1.378632679,3.292256071
Eulemur_rufus,Strepsirrhine,2,0,1,22.54,1815,1.352967444,3.258876629
Euoticus_elegantulus,Strepsirrhine,2,0,0,5.45,274,0.736176752,2.437750563
Euoticus_pallidus,Strepsirrhine,2,0,0,5.19,253.7,0.714805304,2.404320467
Galago_gallarum,Strepsirrhine,2,0,0,4.32,200,0.635483747,2.301029996
Galago_moholi,Strepsirrhine,2,0,0,3.67,148.4,0.565038,2.171372724
Galago_senegalensis,Strepsirrhine,2,0,0,3.95,194.2,0.596766185,2.288181913
Galagoides_demidovii,Strepsirrhine,2,0,0,2.63,74.6,0.420514916,1.873025772
Galagoides_thomasi,Strepsirrhine,2,0,0,2.82,78,0.450636079,1.892094603
Galagoides_zanzibaricus,Strepsirrhine,2,0,0,4.13,143,0.615823268,2.155336037
Gorilla_beringei,Haplorhine,1,1,1,456.15,97500,2.659102976,4.989004616
Gorilla_gorilla,Haplorhine,1,1,1,433.74,71500,2.637224763,4.854306042
Hapalemur_alaotrensis,Strepsirrhine,2,0,1,14.5,1239,1.161368002,3.093071306
Hapalemur_griseus,Strepsirrhine,2,0,1,13.78,914.5,1.139105833,2.961159964
